id,word,reading,part_of_speech,meaning_jp,example_sentence,example_translation,difficulty,frequency,choice1_meaning,choice1_is_correct,choice2_meaning,choice2_is_correct,choice3_meaning,choice3_is_correct,choice4_meaning,choice4_is_correct
a16a6f69-42e1-4cbb-bbf4-95f526b11ebb,abundance,əˈbʌndəns,noun,豊富、大量,The abundance of resources in the region is remarkable.,その地域の豊富なリソースは注目に値します。,2,3,豊富、大量,True,増加、上昇,False,富、財産,False,存在、存在物,False
81d4114b-95cb-4b90-b0ac-c8c088826f81,abstract,ˈæbstrækt,adjective,抽象的な、理論的な,Mathematics deals with abstract concepts.,数学は抽象的な概念を扱っています。,2,3,抽象的な、理論的な,True,漠然とした、曖昧な,False,難しい、複雑な,False,簡潔な、要約した,False
da0e1dd7-8afa-4a1b-a652-be845ae0c0ab,accelerate,ækˈseləreɪt,verb,加速する、速める,The car accelerated on the highway.,車は高速道路で加速しました。,2,3,加速する、速める,True,上昇する、登る,False,始まる、開始する,False,完了する、終わる,False
e9538b93-917f-4ad3-aadf-76e69918abc6,accommodate,əˈkɑmədeɪt,verb,宿泊させる、対応する,The hotel accommodates 500 guests per night.,ホテルは1晩に500人の客を受け入れます。,2,3,宿泊させる、対応する,True,一致する、合致する,False,補足する、付け加える,False,逆らう、反対する,False
743d7855-e1b5-42d2-a0d0-85f3d35bdd9a,accomplish,əˈkɑmplɪʃ,verb,成し遂げる、達成する,He accomplished his goals through hard work.,彼は懸命な努力を通じて目標を達成しました。,2,3,成し遂げる、達成する,True,補完する、補う,False,計算する、算出する,True,伴う、付き添う,False
8f62edd2-dd9b-403e-a19c-cf39abdf367c,ambiguous,æmˈbɪɡjuəs,adjective,曖昧な、あいまいな,The statement is ambiguous and can be interpreted in multiple ways.,その声明は曖昧で、複数の方法で解釈できます。,3,3,曖昧な、あいまいな,True,不明確な、はっきりしない,False,複雑な、難しい,False,疑わしい、怪しい,False
c284fa30-e6ce-4bb8-9d15-a305f9c56c88,analogous,əˈnæləɡəs,adjective,類似の、相当する,This situation is analogous to what happened last year.,この状況は昨年起こったことに類似しています。,3,2,類似の、相当する,True,平行の、並行の,False,正確な、精密な,False,均等な、公平な,False
5ed3c7a6-9e58-47c9-9dad-4ec9e433ec95,antagonism,ænˈtæɡənɪzəm,noun,対抗、敵意,There is deep antagonism between the two groups.,2つのグループ間に深い敵意があります。,3,2,対抗、敵意,True,対比、比較,False,矛盾、不一致,False,対立、紛争,False
8ca9a714-a577-4b79-8749-11598c356bfc,arbitrary,ˈɑrbɪˌtrer i,adjective,恣意的な、気ままな,The decision seemed arbitrary and unfair.,その決定は恣意的で不公平に見えました。,3,2,恣意的な、気ままな,True,根拠のない、無根拠な,False,不合理な、理不尽な,False,専断的な、独裁的な,False
b2b21f4c-d7fd-4cee-9ea5-e24b55c13634,articulate,ɑrˈtɪkjələt,verb/adjective,表現する、明確に述べる,She articulated her concerns clearly and persuasively.,彼女は彼女の懸念を明確かつ説得力を持って表現しました。,3,2,表現する、明確に述べる,True,関連させる、つなげる,False,区別する、区分する,False,証明する、立証する,False
aecdfd06-b122-4b2b-9a34-7746746c21a2,aberration,ˌæbəˈreɪʃən,noun,逸脱、異常,This behavior is an aberration from the norm.,この振る舞いは規範からの逸脱です。,4,2,逸脱、異常,True,抽象化、概要,False,誤謬、誤り,False,偏差、偏移,False
35953859-c826-4117-8761-a258620d7ffe,abjure,əbˈdʒʊr,verb,誓って放棄する、拒否する,He abjured his former political beliefs.,彼は以前の政治的信念を誓って放棄しました。,4,1,誓って放棄する、拒否する,True,非難する、責める,False,隔離する、分離する,False,縮小する、減らす,False
69518249-37e3-4c33-bf75-f67a921311db,abnegation,ˌæbnɪˈɡeɪʃən,noun,放棄、否定,His abnegation of personal comfort was admirable.,彼の個人的な快適さの放棄は称賛に値します。,4,1,放棄、否定,True,拒否、反論,False,矛盾、相反,False,欠陥、欠落,False
ae178bf3-f00d-4614-b15a-215680935921,abstruse,æbˈstrus,adjective,難解な、難しい,The philosophical text is quite abstruse.,その哲学的なテキストは非常に難解です。,4,2,難解な、難しい,True,抽象的な、概念的な,False,複雑な、複雑化した,False,曖昧な、不明確な,False
76d997c6-6b86-4775-843c-77217f66805f,acculturation,əˌkʌltʃəˈreɪʃən,noun,文化適応、同化,Acculturation helps immigrants integrate into society.,文化適応は移民が社会に統合するのに役立ちます。,4,2,文化適応、同化,True,文化的進化、発展,False,文化遺産、伝統,False,文化的差異、多様性,False
